img_id,filename,annotations
382,000382.jpg,"[(4, [2, 166, 161, 334]), (15, [99, 264, 20, 34])]"
387,000387.jpg,"[(7, [4, 17, 478, 238])]"
391,000391.jpg,"[(16, [56, 46, 409, 412])]"
394,000394.jpg,"[(11, [195, 188, 305, 187]), (15, [28, 84, 225, 291]), (15, [0, 22, 344, 285]), (15, [438, 24, 45, 47])]"
395,000395.jpg,"[(3, [103, 53, 326, 211])]"
400,000400.jpg,"[(8, [10, 48, 322, 441])]"
404,000404.jpg,"[(7, [132, 88, 262, 233])]"
406,000406.jpg,"[(7, [53, 284, 61, 29])]"
407,000407.jpg,"[(15, [209, 32, 119, 159]), (13, [64, 72, 339, 238])]"
411,000411.jpg,"[(15, [126, 189, 32, 88]), (15, [198, 193, 35, 82]), (15, [166, 195, 19, 41]), (15, [87, 192, 32, 102]), (15, [19, 194, 36, 103]), (15, [64, 184, 26, 109])]"
416,000416.jpg,"[(17, [329, 138, 70, 110]), (17, [180, 170, 79, 82]), (17, [216, 153, 129, 91])]"
430,000430.jpg,"[(8, [5, 0, 495, 326])]"
431,000431.jpg,"[(1, [31, 88, 466, 272]), (7, [84, 315, 41, 25])]"
438,000438.jpg,"[(15, [239, 55, 193, 277])]"
446,000446.jpg,"[(15, [129, 166, 101, 310]), (15, [80, 85, 164, 387])]"
450,000450.jpg,"[(19, [37, 35, 288, 391])]"
454,000454.jpg,"[(12, [0, 14, 460, 283])]"
463,000463.jpg,"[(14, [195, 76, 106, 89]), (15, [220, 46, 63, 115])]"
468,000468.jpg,"[(15, [0, 142, 217, 358]), (15, [5, 190, 325, 310])]"
469,000469.jpg,"[(7, [15, 27, 439, 288])]"
470,000470.jpg,"[(13, [193, 88, 222, 247]), (15, [144, 131, 29, 99])]"
474,000474.jpg,"[(7, [52, 156, 396, 203]), (4, [14, 60, 85, 96])]"
476,000476.jpg,"[(15, [125, 109, 233, 264])]"
477,000477.jpg,"[(6, [0, 63, 30, 107]), (6, [29, 98, 32, 48]), (15, [99, 129, 38, 108]), (15, [150, 130, 31, 116]), (15, [178, 132, 15, 75]), (15, [192, 134, 39, 153]), (15, [228, 137, 26, 121]), (15, [254, 120, 44, 158]), (15, [278, 131, 45, 158]), (15, [300, 129, 39, 187]), (15, [317, 116, 45, 217]), (15, [331, 130, 69, 202]), (15, [379, 124, 70, 209]), (15, [426, 124, 74, 209])]"
484,000484.jpg,"[(16, [75, 41, 137, 173]), (16, [47, 37, 415, 338])]"
489,000489.jpg,"[(3, [223, 185, 74, 45])]"
496,000496.jpg,"[(9, [418, 209, 64, 110])]"
503,000503.jpg,"[(18, [372, 141, 128, 233]), (18, [13, 145, 124, 216])]"
508,000508.jpg,"[(3, [434, 17, 66, 152]), (3, [246, 138, 166, 237]), (3, [163, 46, 163, 185]), (3, [18, 99, 138, 228]), (3, [154, 126, 134, 203])]"
516,000516.jpg,"[(8, [212, 90, 288, 155]), (15, [0, 8, 500, 367])]"
518,000518.jpg,"[(15, [0, 190, 21, 62]), (6, [18, 75, 460, 236])]"
519,000519.jpg,"[(4, [214, 113, 112, 135]), (4, [379, 191, 121, 47]), (4, [12, 123, 145, 126])]"
522,000522.jpg,"[(7, [35, 127, 399, 144])]"
524,000524.jpg,"[(13, [180, 125, 182, 162]), (15, [251, 77, 61, 161])]"
525,000525.jpg,"[(14, [96, 158, 122, 68]), (15, [442, 115, 58, 102]), (15, [103, 112, 66, 107])]"
526,000526.jpg,"[(15, [188, 87, 88, 229]), (15, [258, 72, 182, 248]), (15, [375, 84, 68, 220]), (9, [420, 184, 68, 122])]"
528,000528.jpg,"[(8, [123, 67, 196, 243])]"
535,000535.jpg,"[(2, [193, 141, 159, 115]), (2, [1, 141, 120, 128]), (15, [205, 54, 111, 185]), (15, [0, 66, 71, 181]), (15, [129, 91, 42, 116])]"
537,000537.jpg,"[(12, [110, 11, 286, 389])]"
541,000541.jpg,"[(7, [258, 193, 77, 26])]"
544,000544.jpg,"[(8, [285, 92, 206, 137]), (8, [0, 65, 307, 261])]"
549,000549.jpg,"[(8, [0, 48, 341, 451])]"
550,000550.jpg,"[(11, [101, 212, 372, 163]), (9, [379, 117, 64, 57]), (9, [149, 127, 84, 102])]"
552,000552.jpg,"[(1, [3, 121, 495, 137]), (1, [97, 74, 329, 93])]"
554,000554.jpg,"[(15, [117, 76, 143, 228]), (18, [1, 188, 499, 187]), (7, [274, 66, 94, 35]), (7, [315, 76, 121, 41]), (7, [265, 94, 132, 48]), (7, [90, 72, 89, 39])]"
555,000555.jpg,"[(18, [1, 110, 261, 189]), (15, [265, 62, 67, 119]), (15, [159, 178, 263, 196]), (15, [0, 173, 186, 201]), (15, [60, 89, 153, 166]), (15, [156, 78, 105, 139]), (9, [269, 97, 70, 91]), (9, [421, 115, 79, 109]), (15, [379, 91, 120, 126])]"
559,000559.jpg,"[(5, [35, 249, 44, 105]), (20, [159, 25, 212, 216])]"
565,000565.jpg,"[(2, [55, 91, 367, 283])]"
577,000577.jpg,"[(13, [0, 0, 479, 333])]"
583,000583.jpg,"[(14, [12, 86, 478, 162])]"
589,000589.jpg,"[(15, [72, 0, 243, 375]), (15, [53, 126, 44, 142]), (15, [0, 117, 33, 183])]"
590,000590.jpg,"[(7, [198, 108, 302, 228])]"
592,000592.jpg,"[(9, [340, 275, 93, 100]), (18, [195, 172, 189, 118]), (16, [128, 150, 75, 68])]"
597,000597.jpg,"[(15, [309, 162, 47, 58]), (15, [458, 167, 39, 41]), (15, [385, 176, 80, 138]), (9, [229, 210, 45, 60]), (9, [301, 241, 69, 79]), (9, [403, 233, 65, 75]), (9, [35, 224, 60, 80]), (20, [194, 180, 41, 32]), (20, [111, 191, 28, 47])]"
605,000605.jpg,"[(7, [320, 174, 66, 18])]"
609,000609.jpg,"[(12, [15, 133, 445, 142])]"
612,000612.jpg,"[(15, [157, 143, 218, 357]), (15, [0, 109, 195, 391]), (19, [0, 0, 374, 213])]"
620,000620.jpg,"[(7, [113, 181, 190, 128])]"
622,000622.jpg,"[(10, [155, 86, 246, 253])]"
625,000625.jpg,"[(15, [394, 208, 92, 86]), (15, [270, 213, 103, 78]), (15, [269, 273, 103, 61]), (15, [170, 203, 93, 75]), (15, [75, 193, 89, 80]), (15, [75, 272, 87, 54]), (15, [66, 81, 103, 79]), (15, [63, 15, 99, 81]), (15, [173, 16, 101, 76]), (15, [171, 84, 112, 100]), (15, [278, 20, 98, 90]), (15, [282, 93, 136, 90]), (15, [388, 87, 112, 96])]"
632,000632.jpg,"[(20, [281, 175, 70, 80]), (9, [60, 166, 118, 169])]"
633,000633.jpg,"[(20, [299, 121, 134, 119]), (15, [1, 21, 338, 354])]"
635,000635.jpg,"[(19, [153, 148, 267, 194])]"
648,000648.jpg,"[(6, [28, 112, 325, 154])]"
654,000654.jpg,"[(17, [35, 134, 133, 93]), (17, [54, 151, 161, 98]), (15, [410, 50, 53, 96]), (15, [367, 48, 57, 98]), (15, [322, 80, 47, 53]), (15, [113, 60, 58, 79]), (15, [85, 59, 44, 80]), (12, [294, 177, 88, 66])]"
657,000657.jpg,"[(1, [252, 155, 58, 21]), (1, [202, 159, 50, 19]), (1, [147, 168, 59, 20]), (1, [233, 191, 58, 21])]"
671,000671.jpg,"[(2, [47, 329, 221, 142])]"
672,000672.jpg,"[(7, [11, 90, 484, 217])]"
680,000680.jpg,"[(3, [212, 143, 107, 98])]"
685,000685.jpg,"[(14, [15, 1, 483, 373])]"
688,000688.jpg,"[(7, [7, 41, 493, 276]), (15, [72, 13, 25, 69]), (15, [102, 9, 19, 66]), (15, [116, 0, 18, 78]), (15, [37, 0, 39, 83]), (15, [0, 0, 46, 96])]"
689,000689.jpg,"[(19, [1, 38, 497, 309])]"
695,000695.jpg,"[(13, [108, 125, 307, 241]), (15, [219, 39, 67, 225]), (13, [442, 158, 58, 125]), (13, [173, 107, 159, 51]), (15, [470, 93, 30, 96])]"
699,000699.jpg,"[(12, [28, 204, 309, 173]), (12, [101, 26, 265, 332]), (12, [308, 129, 164, 233]), (9, [0, 1, 500, 380])]"
700,000700.jpg,"[(7, [11, 223, 45, 29]), (7, [0, 216, 16, 48]), (7, [401, 226, 25, 13]), (7, [429, 224, 34, 15]), (7, [140, 237, 83, 39]), (7, [124, 245, 353, 88])]"
709,000709.jpg,"[(15, [119, 62, 215, 293]), (15, [118, 56, 276, 296]), (9, [376, 121, 97, 188])]"
710,000710.jpg,"[(8, [142, 176, 83, 94]), (9, [187, 181, 116, 283]), (16, [94, 128, 42, 121])]"
711,000711.jpg,"[(16, [58, 1, 178, 186])]"
726,000726.jpg,"[(5, [17, 208, 207, 87]), (15, [152, 44, 122, 289]), (15, [69, 74, 430, 259])]"
729,000729.jpg,"[(16, [9, 5, 363, 493])]"
731,000731.jpg,"[(3, [137, 386, 100, 114]), (15, [12, 74, 288, 299]), (15, [0, 0, 165, 273])]"
733,000733.jpg,"[(15, [47, 24, 226, 359]), (14, [102, 200, 346, 235])]"
739,000739.jpg,"[(15, [403, 29, 97, 345]), (15, [385, 82, 94, 292]), (15, [271, 64, 144, 310]), (15, [238, 54, 97, 320]), (15, [164, 54, 88, 320]), (15, [96, 65, 97, 309]), (15, [2, 25, 106, 349])]"
740,000740.jpg,"[(4, [289, 84, 115, 192]), (4, [103, 103, 109, 168])]"
753,000753.jpg,"[(11, [163, 187, 266, 188]), (5, [210, 113, 31, 83]), (5, [264, 228, 24, 68]), (5, [263, 197, 21, 51]), (15, [262, 98, 90, 129]), (15, [333, 104, 97, 150]), (15, [350, 98, 150, 275]), (15, [127, 100, 65, 114]), (15, [54, 107, 135, 266])]"
754,000754.jpg,"[(6, [55, 80, 102, 90]), (2, [93, 123, 57, 35])]"
761,000761.jpg,"[(9, [299, 248, 113, 127]), (20, [18, 254, 147, 121]), (18, [149, 140, 288, 182])]"
764,000764.jpg,"[(13, [78, 79, 288, 192])]"
767,000767.jpg,"[(10, [31, 0, 439, 318])]"
768,000768.jpg,"[(6, [368, 102, 107, 181]), (6, [32, 45, 337, 285])]"
770,000770.jpg,"[(10, [124, 166, 307, 209]), (15, [133, 64, 94, 302]), (2, [0, 130, 42, 136]), (14, [228, 127, 247, 234])]"
774,000774.jpg,"[(19, [84, 35, 363, 190])]"
793,000793.jpg,"[(15, [288, 99, 28, 84]), (15, [240, 110, 30, 70]), (15, [217, 106, 19, 72]), (15, [401, 66, 66, 193]), (15, [64, 109, 20, 52]), (15, [95, 106, 19, 53]), (15, [99, 77, 91, 205]), (2, [150, 159, 160, 121]), (6, [1, 79, 50, 56])]"
796,000796.jpg,"[(3, [164, 117, 254, 199])]"
804,000804.jpg,"[(9, [93, 242, 60, 62]), (18, [190, 264, 142, 206])]"
805,000805.jpg,"[(12, [28, 64, 328, 347]), (15, [307, 84, 68, 130])]"
810,000810.jpg,"[(15, [150, 12, 348, 363])]"
812,000812.jpg,"[(2, [98, 170, 278, 163]), (15, [148, 32, 212, 301])]"
818,000818.jpg,"[(19, [294, 120, 206, 84]), (7, [0, 180, 33, 24])]"
820,000820.jpg,"[(17, [179, 139, 189, 168]), (17, [347, 42, 65, 29])]"
822,000822.jpg,"[(14, [97, 164, 133, 182]), (14, [230, 167, 123, 156])]"
823,000823.jpg,"[(7, [48, 159, 295, 106])]"
827,000827.jpg,"[(10, [213, 152, 37, 47]), (10, [249, 159, 61, 43])]"
828,000828.jpg,"[(15, [1, 177, 31, 111]), (15, [25, 173, 40, 118]), (15, [266, 92, 95, 197]), (15, [18, 145, 173, 355]), (15, [156, 88, 219, 412])]"
829,000829.jpg,"[(6, [216, 165, 236, 115]), (6, [0, 170, 199, 120]), (7, [354, 0, 31, 20]), (15, [467, 314, 25, 37])]"
830,000830.jpg,"[(11, [123, 181, 229, 189]), (9, [149, 220, 110, 155]), (9, [251, 200, 97, 147])]"
845,000845.jpg,"[(1, [8, 96, 485, 110])]"
849,000849.jpg,"[(12, [22, 55, 137, 273])]"
850,000850.jpg,"[(3, [212, 70, 122, 139])]"
851,000851.jpg,"[(14, [102, 129, 300, 182]), (15, [173, 68, 129, 267])]"
859,000859.jpg,"[(15, [268, 22, 232, 291]), (15, [12, 55, 315, 276])]"
860,000860.jpg,"[(7, [80, 84, 348, 208]), (15, [223, 34, 58, 52]), (15, [297, 44, 61, 71])]"
865,000865.jpg,"[(11, [299, 166, 98, 102]), (9, [406, 166, 59, 86]), (9, [343, 171, 71, 101]), (9, [377, 169, 64, 92]), (15, [189, 101, 148, 274]), (15, [2, 128, 122, 166])]"
867,000867.jpg,"[(16, [171, 95, 59, 96])]"
871,000871.jpg,"[(7, [7, 113, 484, 179])]"
887,000887.jpg,"[(1, [24, 48, 449, 199])]"
888,000888.jpg,"[(7, [294, 203, 57, 42]), (7, [71, 207, 138, 112])]"
889,000889.jpg,"[(16, [36, 286, 150, 200]), (16, [180, 361, 122, 97]), (16, [187, 1, 140, 393])]"
892,000892.jpg,"[(15, [349, 190, 78, 185]), (14, [189, 211, 155, 164])]"
898,000898.jpg,"[(18, [0, 114, 499, 247]), (15, [296, 194, 55, 39])]"
899,000899.jpg,"[(19, [91, 138, 382, 105])]"
900,000900.jpg,"[(17, [259, 134, 83, 135]), (17, [149, 171, 66, 98]), (17, [100, 169, 88, 83])]"
902,000902.jpg,"[(12, [70, 84, 262, 230]), (12, [270, 74, 229, 136]), (12, [159, 33, 154, 72]), (15, [3, 1, 155, 280])]"
904,000904.jpg,"[(10, [236, 166, 102, 97]), (15, [16, 112, 149, 126])]"
906,000906.jpg,"[(7, [60, 178, 390, 172]), (15, [159, 158, 32, 63]), (15, [396, 165, 29, 40]), (4, [1, 2, 230, 298]), (4, [22, 0, 361, 216]), (4, [299, 1, 189, 174]), (7, [422, 161, 78, 98])]"
908,000908.jpg,"[(1, [0, 60, 500, 315])]"
912,000912.jpg,"[(8, [152, 32, 348, 302])]"
915,000915.jpg,"[(11, [25, 255, 249, 120]), (15, [205, 70, 211, 305]), (15, [93, 102, 191, 162])]"
919,000919.jpg,"[(12, [38, 81, 314, 249])]"
929,000929.jpg,"[(11, [0, 64, 500, 311]), (5, [260, 63, 35, 138]), (5, [252, 22, 24, 73])]"
936,000936.jpg,"[(1, [298, 9, 49, 54]), (1, [313, 104, 51, 52]), (1, [333, 148, 45, 52]), (1, [260, 207, 45, 47]), (1, [154, 276, 47, 53])]"
943,000943.jpg,"[(9, [144, 240, 356, 134]), (15, [233, 134, 267, 182]), (15, [304, 145, 122, 122]), (15, [237, 146, 119, 99]), (15, [222, 148, 76, 75]), (15, [75, 139, 71, 127]), (15, [0, 68, 178, 304]), (15, [329, 106, 46, 53]), (15, [49, 113, 52, 72]), (15, [287, 109, 34, 48])]"
950,000950.jpg,"[(11, [51, 193, 387, 131])]"
951,000951.jpg,"[(5, [225, 72, 20, 55])]"
954,000954.jpg,"[(3, [0, 129, 399, 193])]"
958,000958.jpg,"[(12, [0, 89, 327, 210])]"
962,000962.jpg,"[(8, [3, 136, 490, 239])]"
964,000964.jpg,"[(3, [166, 85, 122, 219]), (3, [184, 69, 97, 158])]"
965,000965.jpg,"[(12, [93, 284, 144, 177]), (18, [1, 85, 373, 415])]"
966,000966.jpg,"[(19, [41, 47, 452, 265])]"
967,000967.jpg,"[(15, [418, 232, 50, 140]), (15, [147, 221, 58, 154]), (15, [160, 240, 71, 135]), (15, [11, 222, 28, 108]), (19, [22, 123, 478, 210])]"
977,000977.jpg,"[(7, [148, 270, 31, 25]), (7, [35, 261, 59, 48]), (7, [177, 244, 86, 75]), (7, [257, 265, 36, 31]), (7, [320, 252, 77, 81]), (7, [326, 258, 128, 74])]"
980,000980.jpg,"[(3, [114, 45, 386, 276])]"
987,000987.jpg,"[(15, [198, 18, 192, 383]), (15, [216, 14, 54, 143]), (15, [392, 17, 40, 145]), (14, [18, 94, 440, 349])]"
989,000989.jpg,"[(20, [51, 116, 58, 61])]"
991,000991.jpg,"[(15, [87, 86, 148, 236]), (13, [112, 116, 106, 355])]"
993,000993.jpg,"[(19, [213, 136, 153, 141]), (19, [395, 86, 71, 97])]"
996,000996.jpg,"[(9, [138, 213, 165, 162]), (9, [27, 210, 140, 163]), (9, [0, 212, 76, 111]), (11, [4, 156, 496, 219]), (15, [18, 5, 75, 170])]"
997,000997.jpg,"[(18, [0, 195, 205, 180]), (20, [380, 143, 79, 66])]"
999,000999.jpg,"[(5, [232, 316, 57, 89]), (15, [1, 15, 279, 485])]"
1001,001001.jpg,"[(8, [61, 63, 264, 312]), (15, [314, 101, 113, 255])]"
1002,001002.jpg,"[(4, [198, 383, 177, 100]), (4, [101, 365, 112, 51]), (4, [21, 340, 82, 56])]"
1008,001008.jpg,"[(14, [219, 153, 81, 127])]"
1010,001010.jpg,"[(20, [156, 5, 152, 141])]"
1011,001011.jpg,"[(20, [191, 0, 92, 99]), (15, [238, 2, 262, 373])]"
1014,001014.jpg,"[(12, [277, 187, 118, 188]), (12, [149, 252, 188, 117]), (15, [85, 90, 274, 285]), (9, [98, 138, 303, 237])]"
1015,001015.jpg,"[(3, [95, 132, 15, 31]), (3, [391, 187, 27, 22])]"
1024,001024.jpg,"[(20, [120, 0, 309, 90]), (15, [0, 29, 386, 346])]"
1036,001036.jpg,"[(15, [62, 185, 62, 189]), (15, [0, 177, 35, 196]), (15, [142, 86, 86, 105]), (15, [226, 4, 274, 371]), (15, [109, 187, 252, 188])]"
1043,001043.jpg,"[(8, [60, 8, 422, 301])]"
1050,001050.jpg,"[(15, [234, 125, 63, 116]), (2, [233, 173, 62, 96])]"
1057,001057.jpg,"[(7, [5, 37, 348, 298]), (15, [106, 93, 48, 53])]"
1060,001060.jpg,"[(7, [410, 182, 90, 30]), (2, [154, 196, 29, 38]), (15, [156, 171, 31, 61])]"
1064,001064.jpg,"[(13, [12, 33, 255, 170]), (15, [139, 13, 76, 115])]"
1068,001068.jpg,"[(14, [32, 22, 429, 294])]"
1071,001071.jpg,"[(15, [71, 99, 101, 224]), (15, [197, 112, 90, 219]), (13, [71, 141, 108, 288]), (13, [156, 168, 146, 287])]"
1073,001073.jpg,"[(10, [54, 177, 95, 71]), (10, [134, 175, 40, 66]), (10, [226, 152, 56, 84]), (10, [275, 158, 75, 97]), (10, [326, 151, 99, 89]), (10, [420, 160, 80, 67])]"
1077,001077.jpg,"[(20, [27, 100, 187, 196])]"
1078,001078.jpg,"[(8, [1, 100, 244, 275])]"
